Filter 365nm ,Voltage V,Current (nA) 1,Current (nA) 2,Current (nA) 3,Current (nA) 4,Current (nA) 5,
,0,9.75,9.95,9.98,10.00,,
,0.1,9.73,9.86,9.78,9.93,,
,0.6,9.12,9.24,9.13,9.3,,
,1,8.57,8.66,8.58,8.70,,
,2,6.85,6.95,6.92,6.94,,
,2.5,5.95,5.94,5.94,5.95,,
,3,4.91,4.90,4.95,4.49,,
,3.5,3.89,3.90,3.91,3.393,,
,4,2.92,2.91,2.96,2.94,,
,4.5,2.03,2.03,2.05,2.06,,
,5,1.28,1.28,1.30,1.30,,
,5.5,0.70,0.70,0.70,0.71,,infer digits 
,6,0.30,0.30,0.30,0.30,,
,6.25,0.17,0.17,0.17,0.17,,
,6.5,0.07,0.07,0.07,0.07,,
,6.75,0.004,0.005,0.005,0.008,,
,7,-0.03,-0.03,-0.028,-0.028,,
,7.25,-0.042,-0.042,-0.042,-0.0042,,
,7.5,-0.045,-0.046,-0.045,-0.046,,
