Filter 404nm ,Voltage V,Current (nA) 1 [bad data],Voltage V,Current (nA) 2,Current (nA) 3,Current (nA) 4
,0,4.1,0,5.45,5.5,
,1,3.58,1,4.79,4.84,
,2,2.87,2,3.84,3.88,
,2.5,2.45,2.5,3.33,3.30,
,3,2.00,3,2.70,2.67,
,3.5,1.56,3.5,2.09,2.06,
,4,1.15,4,1.50,1.47,
,4.5,0.77,4.5,0.99,0.97,
,5,0.44,5,0.56,0.54,
,5.5,0.22,5.5,0.24,0.24,
,6,0.74,6,0.070,0.065,
,6.5,0.006,6.5,0.0030,0.0030,
,6.58,,6.58,0.0000,0,
,6.61,0,6.61,,,
,6.75,-0.006,6.75,-0.0040,-0.0038,
,6.85,-0.009,6.85,-0.0046,-0.0046,
,7,-0.011,7,-0.0050,-0.0050,
,7.25,-0.012,7.25,-0.0052,-0.0052,
,7.5,-0.012,7.5,-0.0053,-0.0052,
,7.75,,7.75,-0.0053,-0.0052,
,8.5,,8.5,-0.0053,-0.0052,
